SubLevel,QNumber,QContent,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer,Passed
34,336,She was wearing a heavy sweater to ............... himself against the cold,conceal,protect,cover,wrap,protect,0
34,337,"I travelled ................ 7.00 train, arriving at 9.30",in the,on the,by the,by,on the,0
34,338,"There was no ................ in continuing, for him the race was over",value,worth,point,profit,point,0
34,339,Betty ...............out after dinner and she's just come back,went,has gone,is gone,had gone,went,0
34,340,We'll stop now ................ you have any further question,unless,if,in spite of,although,unless,0
35,341,She ........................a desktop computer,suggested that I buy,suggested that I should buy,suggested to buy,both a and b are correct,both a and b are correct,0
35,342,She wasted ............... time searching for her pen,priceless,costly,valuable,expensive,valuable,0
35,343,Are you looking forward ...................... your old teacher again?,seeing,to see,to seeing,to being seen,to seeing,0
35,344,They like to ............... the crossword puzzle in the newspaper every day.,fill,make,do,answer,do,0
35,345,My parents visited .......................,Canada and United States,the Canada and the United States,Canada and the United States,the Canada and United States,Canada and the United States,0
35,346,................... Mary three hours to do her homework,It takes,To take to it,Taking it,It must,It takes,0
35,347,I asked two strangers the way to the post office but ...................of them knew,none,either,both,neither,neither,0
35,348,Shall we ............... across this field instead of going by the road?,set,take,come,go,go,0
35,349,"The more running water you use, ........................",your bill will be higher,will be higher your bill,the higher your bill will be,the highest your bill will be,the higher your bill will be,0
35,350,"He's a wonderful cook, he can make a delicious ...................... out of almost anything.",flavour,food,meal,plate,meal,0
36,351,Have you read any books .................. by Charles Dickens?,write,wrote,writting,written,written,0
36,352,"What do you mean, he's watching television? He's ............... to be washing the car.",supposed,hoped,expected,thought,supposed,0
36,353,Faraday ................. generator,invented,have invented,had invented,had been inventing,invented,0
36,354,The red curtains began to ............... after they had been hanging in the sun for two months.,fade,die,dissolve,melt,fade,0
36,355,I think all students ................... uniforms,should wear,had better wear,had better to wear,would rather wear,should wear,0
36,356,They have lived near the railway for so long now that they've become............... to the noise of the trains,accustomed,familiar,unconscious,aware,accustomed,0
36,357,"When I came to Britain, I had to get used .................on the left",driving,to driving,to drive,drive,to driving,0
36,358,"In spite of his protests, his father ............... him train for the race two hours a day.",let,made,insisted,caused,made,0
36,359,Mark is a student at ...................,London University,the London University,the University of London,both a and c are correct,both a and c are correct,0
36,360,It was impossible for Susan to tell the truth so she had to ............... a story,invent,combine,manage,lie,invent,0
37,361,What a great party! ................. enjoyed it,Everybody,All,All of us,both a and c are correct,both a and c are correct,0
37,362,"The show was very long, but there were two ........................",intervals,tests,interruptions,gaps,intervals,0
37,363,Paul's a good swimmer. I can't swim as well as ..................,he,him,he can,both b and c are correct,both b and c are correct,0
37,364,This old hospital is going to be ....................... soon,laid out,run down,pulled down,knocked out,pulled down,0
37,365,"The accident was my fault, so I had to pay for the damage .............the other car.",of,for,to,on,to,0
37,366,I phoned her to make an early ............... at the hairdresser's.,order,date,assignment,appointment,appointment,0
37,367,Sue ...................in Chine for five years. Now she lives in France,lived,has lived,has been living,had lived,lived,0
37,368,The nurse ............... a rare disease when she was working in the hospital,took,suffered,infected,caught,caught,0
37,369,It's late. It's time ................. home,to go,to going,for going,going,to go,0
37,370,Papermaking began in China and from there it ................. to North Africa andEurope.,sprang,spilled,carried,spread,spread,0
38,371,I'm thinking .................... a house. Do you think that's a good idea?,to buy,of to buy,of buying,about buy,of buying,0
38,372,"When we heard his joke, we burst into loud .....................",smiles,laughter,amusement,enjoyment,laughter,0
38,373,What time ................... on television?,is the news,are the news,is news,are news,is the news,0
38,374,"The traffic lights ............... to red, and the pedestrians crossed the street",exchanged,turned,removed,shone,turned,0
38,375,The bus service is very good. There's a bus .................. fifteen minutes,each,every,all,most,every,0
38,376,It is a good idea to be ............... dressed when we go for an interview,finely,boldly,smartly,clearly,smartly,0
38,377,The story was really boring. It was ................ I've ever read,most boring story,the more boring story,the story more boring,the most boring story,the most boring story,0
38,378,The plane .................... down at Cairo on its way to India .,remained,landed,visited,touched,touched,0
38,379,Why were you so unfriendly ................ Susan? Have you had a row with her?,of,for,to,with,to,0
38,380,Many accidents in the home could be ............... if householders gave more thought to safety in their houses.,avoided,excluded,protected,preserved,avoided,0
39,381,The boy sitting next to me on the plane was nervous because he........................ before,hasn't flown,didn't fly,hadn't flown,wasn't flying,hadn't flown,0
39,382,Smoking is a very bad habit but many people find difficult to .................. it,break,beat,breathe,cough,break,0
39,383,I'm sure you'll have no ......................the exam,difficulty to pass,difficulties to pass,difficulties passing,difficulty passing,difficulty passing,0
39,384,Who is most likely to swing a club?,a golfer,a tennis player,a basketball player,a cricket player,a golfer,0
39,385,It took me quite a long time to get there. It was ................. journey,three hour,a three-hours,a three-hour,three hours,a three-hour,0
39,386,He was told to eat all his rice or ................ he would get no ice-cream,in case,else,instead,in fact,else,0
39,387,My brother likes walking . ..................................,Every morning he walks to work.,He walks to work every morning.,He walks every morning to work.,both a and b are correct,both a and b are correct,0
39,388,"................ you have no key, you will have to get back before I go to school",Although,Provided,As,Unless,As,0
39,389,He's not very good ............. translating documents,at,for,in,about,at,0
39,390,"................ the time you get to the cinema, the film will have finished",Until,In,By,On,By,0
40,391,.......................a villa when they were living in London?,Had they,Did they have,Were they having,Have they had,Did they have,0
40,392,"Since his mother died, his aunt ...... him",brought up,brought in,brought on,brought after,brought up,0
40,393,My close friend phoned ...............me to a fare-well party,for invite,to invite,for inviting,for to invite,to invite,0
40,394,They took him to the police when he was caught with his hand in the..............,register,till,accounts,books,till,0
40,395,Could you tell me where  ....................... is?,the manager office,the manager's office,the office of the manager,the office of the manager's,the manager's office,0
40,396,Have you any objections ................ this plan?,with,for,at,to,to,0
40,397,.......................a long time for the train,Always we have to wait,We always have to wait,We have always to wait,We have to wait always,We always have to wait,0
40,398,Many people in the world died .............. AIDS,from,for,of,about,of,0
40,399,I fail to understand this sentence. Can you ......................?,explain to me this word,explain me this word,explain this word to me,explain this word me,explain this word to me,0
40,400,I object ................... being kept waiting. Why can't you be ................... time?,for / on,to / on,of / on,to / upon,to / on,0
41,401,I ................... to music a lot but I don't do any more,was listening,was used to listen,used to listen,was used to listening,used to listen,0
41,402,"To get a passport, we must send in our birth ................ and two photos",certificate,licence,paper,card,certificate,0
41,403,Thomas doesn't speak very clearly. .........................,It is difficult to understand him.,He is difficult to understand.,He is difficult to understand him.,Both a and b are correct,It is difficult to understand him.,0
41,404,The job was more difficult than I ................ expected it to be,would,had,have,might,had,0
41,405,My manager .................... . He left last May,still doesn't work here,doesn't still work here,no more works here,doesn't work here any more,doesn't work here any more,0
41,406,The burglar ....................... to open a store's window,succeeded,managed,forced,discovered,managed,0
41,407,"If you're worried about the problem, you should do something ............. it",for,about,against,with,about,0
41,408,Mrs White ................ drive to work every day but then she suddenly decided to walk instead.,was used to,had used to,was using to,used to,used to,0
41,409,The path was so icy that we walked very carefully. We were afraid ...............,of falling,from falling,to fall,to falling,of falling,0
41,410,Scientists have discovered a close ................ between smoking and lung cancer.,action,connection,union,combination,connection,0
42,411,"..................she's very busy, she's agreeable to help me",Even,Even though,Even if,Even when,Even though,0
42,412,"""Who's Charles Chang?"" ""I've no idea . I've never heard ............. him.""",about,from,after,of,of,0
42,413,She earned her money by developing a profitable travel ..................,commerce,shop,affair,business,business,0
42,414,I didn't hear you ................. in. You must have been very quiet,come,to come,came,All are wrong,come,0
42,415,"We .................... 2,000 English words by the end of this year",will learn,will be learning,will have learnt,will have been learnt,will have learnt,0
42,416,"""Could you arrive on time?"" ""I don't know for certain. It depends ........... the traffic.""",of,for,from,on,on,0
42,417,I went to that museum ................ some famous pictures,to watch,to see to,to look at,to visit,to look at,0
42,418,".................. a hotel, we looked for somewhere to have dinner",Finding,After finding,Having found,both b and c are correct,both b and c are correct,0
42,419,................ she is studying at a famous university,In a moment,At this instant,At present,In the present,At present,0
42,420,I prefer fish ................. meat,to,than,against,over,to,0
43,421,You should keep a box of matches ................ in case the lights go out again.,handy,by hand,in touch,in the way,handy,0
43,422,She gave me a form and told me to .................,fill in,fill it into,fill in it,fill,fill in,0
43,423,I couldn't make my son ................ har,to work,working,worked,work,work,0
43,424,I hope this backache ............... soon,goes out,comes away,wears off,passes always,wears off,0
43,425,Rarely do we get ................ an intelligent student as you,as,so,such,too,such,0
43,426,The monitor is responsible ..... our form-master for the class,with,for,about,to,to,0
43,427,"In addition ............ doing the cleaning, I make the coffee",for,to,on,with,to,0
43,428,Chip .............. out of the house as fast as his leg would carry him,strolled,dashed,ambled,plunged,dashed,0
43,429,Mary promised to write ................ we never heard from her again,but,except,although,because,but,0
43,430,This is the second time I .............  such a difficult exercise,do,did,have done,would do,have done,0
44,431,They're moving out soon because their house is going to be knocked..................... when the new supermarket is built,off,out,down,away,down,0
44,432,He told me that it had taken him only a few hours to ................... the paper off the wall.,paste,stroke,scrape,chip,scrape,0
44,433,Her uncle won't ................ her drive his car,allow,let,leave,permit,let,0
44,434,Humid climate,frigid,moist,perilous,sunny,moist,0
44,435,What will I do if no one ............ me at the airport?,meet,will meet,meets,met,meets,0
44,436,Eliminate a problem,perceive,wipe out,aggravate,create,wipe out,0
44,437,Will his parents be able to ................ all their financial difficulties?,defeat,overcome,dismiss,overtake,overcome,0
44,438,"Although blood ............ a residue in urine and stool samples, it cannot always be detected without the aid of a microscope.",let,leave,leaves,lets,leaves,0
44,439,His house is ................ at the corner of a shopping street,situated,placed,stood,put,situated,0
44,440,Waitresses and waiters who serve .................. deserve at least a 20 percent tip.,in a courteous manner,courteously,with courtesy in their manner,courteous,courteously,0
45,441,The fisher saw the plane crash into the sea when its engines ................,failed,stood,struck,held,failed,0
45,442,"Choose the synonym of ""Innocent beyond a shadow of a doubt""",lack of certainty,lack of freedom,lack of vision,lack of courage,lack of certainty,0
45,443,He was the last soldier .............. left Vietnam,who,whom,which,whose,who,0
45,444,Slender forms,round and curvy,bright and shiny,colorful and attractive,long and thin,long and thin,0
45,445,All the articles of jewellery were beautifully arranged on a ................  of black velvet.,ground,vicinity,background,terrace,background,0
45,446,"From 1926 until her death, Margaret Mead ..............New York's AmericanMuseum of Natural History",was associated with,associates with,is associated with,associated,was associated with,0
45,447,"In spite of lengthy discussions between the Union and the Management, closure became ................ because of the cancellation of several major orders",irreplaceable,inevitable,responsible,impossible,inevitable,0
45,448,Our neighbours complained to us ............... the noise we made last night,for,about,on,with,about,0
45,449,"Up to the time of his death, Richard Colson was one of the most notable................ in our town",characteristics,features,statements,figures,figures,0
45,450,He's a ............... and so he always votes for the Labour Party,conservative,liberal,socialist,socialite,socialist,0
46,451,............ the Gulf Stream is warmer than the ocean water surrounding it,Whollly,Whole,As a whole,A whole as,As a whole,0
46,452,My doctor ................ me to take up swimming as it is such good exercise,suggested,proposed,advised,said,advised,0
46,453,"Memorial Day, a holiday set aside to remember the dead, is usually celebrated on ........... in most states.",thirtieth May,the thirtieth May,May thirty,the thirtieth of May,the thirtieth of May,0
46,454,Phone me before ten; ................ I'll be too busy to talk to you,unless,whether,otherwise,if,otherwise,0
46,455,Fortunately the machine was not ................ when it caught fire,in order,in use,in progress,in ruins,in use,0
46,456,"In some countries, it is compulsory to vote in a(n) .................",choice,constituency,election,selection,election,0
46,457,I disapprove ................ people smoking in public places,of,with,at,on,of,0
46,458,They haven't ................ replied to the letter we sent two months ago,still,yet,already,ever,still,0
46,459,She found it hard to ................ up to the fact that she would never be famous,come,get,face,keep,face,0
46,460,Please leave this space ................ on the enrolment form,absent,blank,missing,undone,blank,0
47,461,Come and see me after you ................ your report,finish,will finish,had finished,having finished,finish,0
47,462,The factory .................... my father works in is in the centre of the city,when,where,which,how,which,0
47,463,I never forget the village .................... I was born,that,where,when,who,where,0
47,464,"For the first few minutes she was leading the race, then she began to fall...............",out,through,back,off,back,0
47,465,The passport she carried was ...............,artificial,imitation,untrue,false,false,0
47,466,I'm tired of my neighbours ................ their records at full volumn every night,to play,play,having played,playing,playing,0
47,467,The burglar was sentenced to 20 years in ...................,dock,goal,jail,trial,jail,0
47,468,"................ many times I tell him, he always forgets to pass on phone messages.",Wherever,Whatever,However,Whenever,However,0
47,469,This sort of music was very ................ in the 1940,preferred,liked,favourite,popular,popular,0
47,470,They'll never ................ to get here by six - the roads are quite busy today,manage,arrive,succeed,able,manage,0
48,471,The instructor warned the students ................ sailing alone on the lake,not,from,about,out of,about,0
48,472,The police have ............... the man who is suspected of committing the murder.,arrested,captivated,imprisoned,punished,arrested,0
48,473,"Only a small number of countries possess nuclear ................, thankGoodness.",ammunition,equipment,guns,weapons,weapons,0
48,474,"""You look tired."" ""I ................ all night.",have worked,had worked,have been working,had been working,have been working,0
48,475,Every student tries ................... hard to pass the examination.,study,to study,studying,studied,to study,0
48,476,"................ the weather is warmer, you can go out",However,Now that,No matter,So that,Now that,0
48,477,"We're late, I expect the film ................ by the time we get to the theatre",have started,will start,will be starting,will have started,will have started,0
48,478,I'm sure he was ............... lies!,telling,making,doing,saying,telling,0
48,479,He asked me what the ............ of the explosion was,source,cause,reaction,reason,cause,0
48,480,My solicitor has advised ............. take legal action,me to not,me not to,to me not to,me against to,me not to,0
49,481,....................... want to visit this part of the town,The most tourists,Most of tourists,Most tourists,Most tourist,Most tourists,0
49,482,I must go now. I promised ................................ late,not being,not to be,to not be,not to being,not to be,0
49,483,"""One of these days there'll be a terrible accident on this corner."" ""I.............................. !",don't hope it,don't hope so,hope not,hope no,hope not,0
49,484,Our teacher makes us ............. very hard,to work,work,working,be work,work,0
49,485,Children are made ............. their breath by the acrobat show,hold,to hold,holding,held,to hold,0
49,486,You have to let your children ............. their own way in the end,to go,going,go,be going,go,0
49,487,Jean gets very agitated if her daughter .................... her once a week,doesn't ring,didn't ring,not ring,don't ring,doesn't ring,0
49,488,"To be honest, whether he'll come or not is anybody's .............",guess,question,instinct,feeling,guess,0
49,489,I bought a ..................... for my mum when I visited Dalat,recollection,reminiscence,souvenir,recall,souvenir,0
49,490,John asked me to marry him but I turned him .............,over,down,off,aside,down,0
50,491,I separated the quarrelling children and gave each of them a sharp .............,punch,slap,poke,pinch,slap,0
50,492,She wasn't offered the job by the manager because of her untidy ............,sight,appearance,presence,view,appearance,0
50,493,"While we're on vacation, we always ............ lots of photos",make,take,catch,do,take,0
50,494,He told a ............. because he didn't want to upset his mother,good lie,kind lie,black lie,white lie,white lie,0
50,495,"Good luck at the interview, Fred, I hope you ........ the job",got,get,have got,would get,get,0
50,496,"If you would like to wait a moment, sir, I will just ........... your file on the computer screen.",pull down,call up,bring in,pick up,call up,0
50,497,"When Grace returned home, he discovered ............. his horror that the pipes had burst and the entire house was flooded.",to,of,at,by,to,0
50,498,"Before you sign the contract, ............. in mind that you won't be able to change anything later.",bear,hold,retain,reserve,hold,0
50,499,All my money is .............. up in the new car I have bought.,connected,trapped,tied,limited,tied,0
50,500,It was so hot that the ............. in the wood actually dried up last summer,flood,bath,bowl,pond,pond,0
51,501,When my younger sister was a child she used to want to ........... to play the piano.,know,learn,make,discover,learn,0
51,502,The building of the new bridge will ..... as planned,go up,go ahead,go out,go on,go ahead,0
51,503,"................. I ask him for the money he owes me, he says he will bring it in a few days, but I don't think he has got it at all.",Whenever,However,Whatever,Wherever,Whenever,0
51,504,We must tell you about our ........... when we first arrived in Paris.,incidents,happenings,events,experience,experience,0
51,505,What a nice coat! And the color ............. you,fits,matches,suits,shows,suits,0
51,506,The traffic in town was very ............ and I got home earlier than expected,light,weak,little,few,light,0
51,507,I was ........ to steal the camera when I saw it lying on the table,attracted,tempted,dragged,brought,tempted,0
51,508,"She was furious after the argument she had had, and ........... out of the house, slamming the door behind her.",stormed,staggered,trudged,hopped,stormed,0
51,509,She was forced to get out of the city and had to ............ her children behind,desert,leave,let,abandon,leave,0
51,510,We managed to survive a little boy from the burning car in the ............ of time.,tick,wink,nick,brink,nick,0
52,511,"Mike seems very quiet, but it would be a mistake to ............. his intelligence",devalue,depreciate,minimize,underrate,underrate,0
52,512,Not only ............ visit Korea but they plan to stop off in the UK as well,they plan to,they must,will they,are they paying,will they,0
52,513,Joseph had become ............ to scenes of human distress after many years as a doctor.,experienced,hardened,expert,unemotional,hardened,0
52,514,"After the meeting, the staff went back to their .......... offices",prospective,respected,respective,perspective,respective,0
52,515,"Given the present economic situation, it ............ be best to wait before making further wage demands.",seemed,should,might,ought,should,0
52,516,Patricia couldn't be present at  the meeting as the date ............ with her holidays.,occurred,struck,opposed,clashed,clashed,0
52,517,I'm going to the launderette because my washing machine has ..........,gone out,broken down,run down,worn out,broken down,0
52,518,David was unhappy ............ his childhood,while,for,during,as,during,0
52,519,Stopping racial ......... simply by legislation is impossible,tendency,prejudice,obsession,seclusion,prejudice,0
52,520,Have we any contingency plans to............. back on if this one fails?,fall,lean,turn,come,fall,0
53,521,.................... every child in the school passed the swimming test,Near to,Near of,Next to,Nearly,Nearly,0
53,522,She can look back on her career with great .......,satisfied,satisfaction,satisfactory,satisfactorily,satisfaction,0
53,523,The captain as well as the passengers ....... frightened.,be,been,was,were,was,0
53,524,Ann has got two sisters. Both of them ....... married,has,have,is,are,are,0
53,525,Each learner of English ....... a good dictionary.,needs,need,is,are,needs,0
53,526,"Money, nor fame, nor wealth ....... brought happiness to everybody.",has,have,is,are,has,0
53,527,They .......... at this school before they became interpreters.,have taught,had taught,taught,were taught,had taught,0
53,528,The salary of a bus driver is much higher ......,in comparison with the salary of a teacher,than a teacher,than that of a teacher,to compare as a teacher,than that of a teacher,0
53,529,Professional people expect you to call them when it is necessary ......... an appointment,to cancel,cancel,canceling,canceled,to cancel,0
53,530,A computer is usually chosen because of its simplicity of operation and ease of maintenance ............... its capacity to store information,the same as,the same,as well as,as well,as well as,0
54,531,"In a new culture, many embarrassing situations occur ................ a misunderstanding.",for,of,because of,because,because of,0
54,532,"Neptune is an extremely cold planet, and ...............",so does Uranus,so has Uranus,so is Uranus,Uranus so,so is Uranus,0
54,533,............... that gold was discovered at Sutter's Mill and that the California Gold Rush began,Because in 1848,That in 1848,In 1848 that it was,It was in 1848,It was in 1848,0
54,534,The job has no ......,prospectively,prospects,prospector,prospective,prospects,0
54,535,Frost occurs in valleys and on low grounds ...............on adjacent hills.,more frequently as,as frequently than,more frequently than,frequently than,more frequently than,0
54,536,Mount Rushmore can be ....................... from more than 100 kilometers away.,see,saw,been seen,seen,seen,0
54,537,I'd like you ........................ my family this weekend,meet,to meet,meeting,to meeting,to meet,0
54,538,Cold objects emit ............... hot objects,fewer than infrared rays as,fewer infrared rays than,fewer infrared rays as,as fewer infrared rays,fewer infrared rays than,0
54,539,"Mr. Green, along with his friends, ....... arriving here tonight",is,are,was,were,is,0
54,540,"The statement will be spoken just one time; therefore, you must listen very ...... in order to understand what the speaker has said",carefully,careful,care,careless,carefully,0
55,541,"Gunpowder, in some ways the most effective of all the explosive materials, ....... a mixture of potassium nitrate, charcoal, and sulfur",were,had been,had,was,was,0
55,542,"In the relatively short history of industrial ....... in the United States, New York city has played a vital role",developed,development,developing,develop,development,0
55,543,"As the demand increases, manufacturers who previously produced only a large, luxury car ..... compelled to make a smaller model in order to compete in the market.",is,are,will,should,are,0
55,544,She has ....... the conditions for entry into the college.,satisfied,satisfaction,satisfactory,satisfactorily,satisfied,0
55,545,"For the first time in the history of the country, the person ..... was recommended by the president to replace a retiring justice on the supreme court is a woman.",which,whose,who,whom,who,0
55,546,"Signor Risponso's fame rested on the breadth of his range, which was ............... any other tenor, living or dead",greater than that of,as large as,more greater,broader than the one of,greater than that of,0
55,547,New words are constantly being invented ...... new objects and concepts.,to describe,a description of,they describe,describe,to describe,0
55,548,You can't ....... to learn a foreign language in a week.,expectant,expected,expect,expectation,expect,0
55,549,.... rain or snow there are always more than fifty thousand fans at the football games,Despite,In spite with,Despite of,Despite with,Despite,0
55,550,The prices of homes are ...... high in urban areas that most young people cannot afford to buy them,as,so,such,so as,so,0
56,551,To see the statue of liberty and ...... pictures from the top of the empire state building are two reasons for visiting New York city,taking,take,taken,to take,to take,0
56,552,I can't see the ....... of sitting on the beach all day.,attract,attractive,attractiveness,attractively,attractiveness,0
56,553,Factoring is the process of finding two or more expressions whose product is equal ..... the given expression,to,as,with,by,to,0
56,554,Bricks baked in a kiln are much harder ....... that are dried in the sun.,those,than do those,than those,ones,than those,0
56,555,"Since infection can cause ..... fever ...... pain, it is a good idea to check a patient's temperature",both / as well as,both / as good as,both / with,both / and,both / and,0
56,556,"Schizophrenia, a behavioral disorder typified by a fundamental break with reality, ....... by genetic predisposition, stress, drugs, or infections",may be triggered,may triggered,may trigger,may be trigger,may be triggered,0
56,557,"They asked us, Henry and ....., whether we thought that the statistics had been presented fairly and accurately",I,me,mine,my,me,0
56,558,They thought that he was guilty ...... racial discrimination.,of,with,for,about,of,0
56,559,"In purchasing a winter coat, it is very important ....... it on with heavy clothing underneath",for trying,to try,of trying,try,to try,0
56,560,"What happened in New York ..... a reaction from city workers, including firemen and policemen who had been laid off from their jobs",was,were,is,are,was,0
57,561,The result of the experiment was .......,satisfied,satisfaction,satisfactory,satisfactorily,satisfactory,0
57,562,A number of ...... submitted their manuscripts under pseudonyms to conceal the fact that they were women,novel,novelist,novels,novelists,novelists,0
57,563,Some executives require that the secretary ....... responsible for writing all reports as well as for balancing the books,is,be,was,been,be,0
57,564,"Although a doctor may be able to diagnose a problem ......, he still may not be able to find a drug to which the patient will respond",perfect,perfectible,perfectly,perfection,perfectly,0
57,565,This law is purely ........,prospect,prospects,prospector,prospective,prospective,0
57,566,The number of the days in a week ....... seven.,needs,are,need,is,is,0
57,567,"Although the red cross accepts blood from most donors, the nurses will not ...... you give blood if you have just had a cold",let,leave,want,need,let,0
57,568,"Most comets have two kinds of tails, one made up of dust, ...... made up of electrically charged particles called plasma",one another,the other,other ones,each other,the other,0
57,569,"By 1820, there were over sixty steamboats on the Mississippi river, ...... were quite luxurious",many of them,which many,many of which,many that,many of which,0
57,570,"The native people of the Americans are called Indians because when Columbus landed in the Bahamas in 1492, he thought that he ....... the east Indies.",has reached,has been reached,had been reached,had reached,had reached,0
58,571,Most school-leavers have the ....... to go to work because they want to live independently,keen,keenly,keenness,keener,keenness,0
58,572,....... objections to the plan haven't happened,Expectant,Expected,Expect,Expectation,Expected,0
58,573,Many students are so afraid ...... failing that they deny all invitations,at,about,to,of,of,0
58,574,It is important that the TOEFL office ....... an applicant's registration.,will confirm,confirm,confirms,must confirm,confirm,0
58,575,"Please state your name, age and .......",occupied (v),occupied (adj),occupation,occupational,occupation,0
58,576,Deserts are often formed ....... they are cut off from rain-bearing winds by the surrounding mountain ranges,because,in spite of,so,due to,because,0
58,577,....... that the English settled in Jamestown.,In 1607 that it was,That in 1607,Because in 1607,It was in 1607,It was in 1607,0
58,578,Staying in a hotel costs ....... renting a room in a dormitory for a week.,twice more than,twice as much as,as much twice as,as much as twice,twice as much as,0
58,579,"When friends insist on ....... expensive gifts, it makes most Americans uncomfortable.",them to accept,their accepting,they accepting,they accept,their accepting,0
58,580,Do any of these designs ....... you?,attract,attractive,attractiveness,attractively,attract,0
59,581,"There are twenty species of wild roses in North America, all of which have prickly stems, pinnate leaves, and large flowers, which usually smell ....",sweetly,sweet,sweetness,sweetish,sweet,0
59,582,"Having ..... the topics for their essays, the students were instructed to make either a preliminary outline or a rough draft",chose,chosen,choose,choice,chosen,0
59,583,Gilbert Stuart is considered by most art critics ....... greatest portrait painter in the North American colonies,that he was,as he was,who was the,the,the,0
59,584,"As a safety measure, the detonator for a nuclear device may be made of ......., each of which is controlled by a different employee",two equipments,two pieces of equipments,two pieces of equipment,two equipment pieces,two pieces of equipment,0
59,585,An equilateral triangle is a triangle ....... and three angles of equal size.,that have three sides of equal length,it has three sides equally long,that has three sides of equal length,having three equal length sides in it,that has three sides of equal length,0
59,586,Some students set confused ...... having to suffer long and hard years before they attain any level of success,with,in,about,of,about,0
59,587,....... are found on the surface of the moon.,Craters and waterless seas that,When craters and waterless seas,Craters and waterless seas,Since craters and waterless seas,Craters and waterless seas,0
59,588,His ....... made him cry.,fearful,fearfulness,fearless,fearlessness,fearfulness,0
59,589,"....... two waves pass a given point simultaneously, they will have no effect on each other's subsequent motion",So that,They are,That,If,If,0
59,590,A child in the first grade tends to be ....... all of the other children in the class.,the same old to,the same age than,as old like,the same age as,the same age as,0
60,591,I'm ....... to succeed.,determinant,determination,determine,determined,determined,0
60,592,The bird's egg is such an efficient structure for protecting the embryo inside ....... difficult for the hatchling to break,that is,that,and is,that it is,that it is,0
60,593,"We had hoped ....... the game, but the other team played very well.",state university to win,that state university win,that state university would win,state university's winning,that state university would win,0
60,594,The artistic medium of clay is ....... that images have been found near the remains of fires from the last ice age,so old,such an old,oldest,old,so old,0
60,595,"Unlike most Europeans, many Americans ....... a bowl of cereal for breakfast every day",used to eating,are used to eat,are used to eating,use to eat,are used to eating,0
60,596,His body-guard will keep him safe ...... the crowded.,from,on,to,of,from,0
60,597,The most common form of treatment ........ mass inoculation and chlorination of water sources,it is,they are,is,are,is,0
60,598,People with exceptionally high intelligence quotients may not be the best employees since they become bored ...... their work unless the job is constantly changing.,of,with,in,of,with,0
60,599,Neither the mathematics department nor the biology department at state university requires that the students ...... a thesis in order to graduate with a master's degree.,must write,write,will write,would write,write,0
60,600,The oxygen content of mars is not ...... to support life as we know it.,sufficient enough,too sufficient,enough sufficient,sufficient,sufficient,0
61,601,"Students in the United States often support themselves by babysitting, working in restaurants, or ...... taxicabs",they drive,to drive,driving,drive,driving,0
61,602,She viewed the ....... of a week alone in the house without much enthusiasm,prospect,prospects,prospector,prospective,prospect,0
61,603,Those of us who have a family history of heart disease should make yearly appointments with ...... doctors,their,our,his,her,our,0
61,604,"Although federal support for basic research programs ...... much less than it was ten years ago, more funds are now available from the national science foundation.",are,is,was,were,is,0
61,605,"Located in New York, apartments cost more to rent than they ..... in other, smaller cities",do,did,will,would,do,0
61,606,This new model not only saves time but also ..... by operating on two batteries instead of four,energy,to save energy,save energy,saves energy,saves energy,0
61,607,The government requires that a census be taken every ten years ...... accurate statistics may be compiled,so,so that,such,such that,so that,0
61,608,The main ....... of economics success is our ability to control inflation.,determinant,determination,determine,determined,determinant,0
61,609,Who is responsible ...... the project?,for,to,with,about,for,0
61,610,Television has little ....... for me.,attract,attractive,attraction,attractively,attraction,0
62,611,"In 1975, according to the national center for health statistics, the average life expectancy for people born during that year ....... 72.4 years",is,were,are,was,was,0
62,612,A ....... mountaineer reached the top of the Himalaya last week.,fearful,fearfulness,fearless,fearlessness,fearless,0
62,613,"Traditionally, the flag is ....... in the morning and taken down at night.",raised,raise,risen,rise,raised,0
62,614,One way to inform the public about factories that pollute the environment is through ....... programs on TV,agricultural,educational,industrial,cultural,educational,0
62,615,I didn't enjoy this book on how to succeed in business. It wasn't very .......,poorly written,well typed,well written,good written,well written,0
62,616,"The corals can be divided into three groups, two of which ..... extinct.",is,are,was,were,are,0
62,617,"Without alphabetical order, dictionaries would be ...... to use.",possibility,possible,impossibility,impossible,impossible,0
62,618,I was shocked ...... the news of the crashed plane.,about,with,of,at,at,0
62,619,Jane Addams had already established full house in Chicago and ...... her work in the women's suffrage movement when she was awarded the Nobel prize for peace.,began,begun,begin,beginning,begun,0
62,620,"The extent to which an individual is a product of either heredity or environment ......, but several theories have been proposed",cannot proved,cannot be proved,cannot prove,can be proved,cannot be proved,0
63,621,Every country ....... a national flag.,is,are,has,have,has,0
63,622,Optical fibers ....... to deliver laser light.,can also used,also can use,can also be used,also can be used,can also be used,0
63,623,The flag of the original colonies may or may not have been .... by Betsy Ross during the revolution,made,make,to make,making,made,0
63,624,Goods for sale at ....... prices.,attract,attractive,attraction,attractively,attractive,0
63,625,Your mistakes in composition are similar ...... his.,by,to,on,with,to,0
63,626,Often a team of engineers is .......,work on one project,on one project work,working on one project,to working on one project,working on one project,0
